,BUILDINGID,Watts,time
0,0002,17084.0,2022-04-19T14:39:01.917509Z
1,0005,206597.0,2022-04-19T14:39:01.917509Z
2,0006,208226.0,2022-04-19T14:39:01.917509Z
3,0007,191027.0,2022-04-19T14:39:01.917509Z
4,0008,190701.0,2022-04-19T14:39:01.917509Z
5,0009,86926.0,2022-04-19T14:39:01.917509Z
6,0010,80872.15400000001,2022-04-19T14:39:01.917509Z
7,0012,41779.0,2022-04-19T14:39:01.917509Z
8,0013,33846.0,2022-04-19T14:39:01.917509Z
9,0014,19966.0,2022-04-19T14:39:01.917509Z
10,0015,562.036,2022-04-19T14:39:01.917509Z
11,0016,103240.0,2022-04-19T14:39:01.917509Z
12,0017,91.857,2022-04-19T14:39:01.917509Z
13,0018,3966.0,2022-04-19T14:39:01.917509Z
14,0019,246020.0,2022-04-19T14:39:01.917509Z
15,0027,72249.0,2022-04-19T14:39:01.917509Z
16,0029,251380.0,2022-04-19T14:39:01.917509Z
17,0030,123069.0,2022-04-19T14:39:01.917509Z
18,0031,91487.0,2022-04-19T14:39:01.917509Z
19,0032,12286.0,2022-04-19T14:39:01.917509Z
20,0033,32954.0,2022-04-19T14:39:01.917509Z
21,0034,33178.0,2022-04-19T14:39:01.917509Z
22,0035,24239.0,2022-04-19T14:39:01.917509Z
23,0036,23597.0,2022-04-19T14:39:01.917509Z
24,0037,240795.46,2022-04-19T14:39:01.917509Z
25,0038,99937.0,2022-04-19T14:39:01.917509Z
26,0039,92440.222,2022-04-19T14:39:01.917509Z
27,0040,16990.006,2022-04-19T14:39:01.917509Z
28,0041,1769.694,2022-04-19T14:39:01.917509Z
29,0042,4510.0,2022-04-19T14:39:01.917509Z
30,0047,50099.0,2022-04-19T14:39:01.917509Z
31,0048,20928.0,2022-04-19T14:39:01.917509Z
32,0049,168956.0,2022-04-19T14:39:01.917509Z
33,0051,51354.0,2022-04-19T14:39:01.917509Z
34,0058,40848.0,2022-04-19T14:39:01.917509Z
35,0063,182529.0,2022-04-19T14:39:01.917509Z
36,0064,16780.0,2022-04-19T14:39:01.917509Z
37,0065,33207.0,2022-04-19T14:39:01.917509Z
38,0066,15.903,2022-04-19T14:39:01.917509Z
39,0067,32652.0,2022-04-19T14:39:01.917509Z
40,0068,44411.62,2022-04-19T14:39:01.917509Z
41,0069,1125.302,2022-04-19T14:39:01.917509Z
42,006a,19854.0,2022-04-19T14:39:01.917509Z
43,0071,20139.0,2022-04-19T14:39:01.917509Z
44,0072,25083.0,2022-04-19T14:39:01.917509Z
45,0073,13715.0,2022-04-19T14:39:01.917509Z
46,0074,20520.0,2022-04-19T14:39:01.917509Z
47,0075,12437.0,2022-04-19T14:39:01.917509Z
48,0076,22471.0,2022-04-19T14:39:01.917509Z
49,0077,13368.0,2022-04-19T14:39:01.917509Z
50,0080,13566.0,2022-04-19T14:39:01.917509Z
51,0081,35056.0,2022-04-19T14:39:01.917509Z
52,0083,11779.0,2022-04-19T14:39:01.917509Z
53,0084,7695.0,2022-04-19T14:39:01.917509Z
54,0085,10677.0,2022-04-19T14:39:01.917509Z
55,0086,8563.0,2022-04-19T14:39:01.917509Z
56,0087,50719.0,2022-04-19T14:39:01.917509Z
57,0088,4943.0,2022-04-19T14:39:01.917509Z
58,0089,7362.0,2022-04-19T14:39:01.917509Z
59,008b,189861.0,2022-04-19T14:39:01.917509Z
60,0090,8826.0,2022-04-19T14:39:01.917509Z
61,0091,11861.0,2022-04-19T14:39:01.917509Z
62,0092,9400.0,2022-04-19T14:39:01.917509Z
63,0093,10152.0,2022-04-19T14:39:01.917509Z
64,0094,10753.0,2022-04-19T14:39:01.917509Z
65,0095,13212.0,2022-04-19T14:39:01.917509Z
66,0096,5884.0,2022-04-19T14:39:01.917509Z
67,0097,9676.0,2022-04-19T14:39:01.917509Z
68,0098,12.248,2022-04-19T14:39:01.917509Z
69,0099,18911.0,2022-04-19T14:39:01.917509Z
70,009a,320185.0,2022-04-19T14:39:01.917509Z
71,0100,5143.0,2022-04-19T14:39:01.917509Z
72,0101,8540.0,2022-04-19T14:39:01.917509Z
73,0102,8538.0,2022-04-19T14:39:01.917509Z
74,0104,11978.0,2022-04-19T14:39:01.917509Z
75,0105,15935.0,2022-04-19T14:39:01.917509Z
76,0106,9716.0,2022-04-19T14:39:01.917509Z
77,0107,11986.0,2022-04-19T14:39:01.917509Z
78,0111,497180.0,2022-04-19T14:39:01.917509Z
79,0113,124649.0,2022-04-19T14:39:01.917509Z
80,0114,50700.078,2022-04-19T14:39:01.917509Z
81,0115,22800.0,2022-04-19T14:39:01.917509Z
82,0117,76273.0,2022-04-19T14:39:01.917509Z
83,0118,91264.0,2022-04-19T14:39:01.917509Z
84,0121,70657.0,2022-04-19T14:39:01.917509Z
85,0123,22260.0,2022-04-19T14:39:01.917509Z
86,0124,100765.0,2022-04-19T14:39:01.917509Z
87,0128,1637.165,2022-04-19T14:39:01.917509Z
88,0130,3721.0,2022-04-19T14:39:01.917509Z
89,0151,16.714,2022-04-19T14:39:01.917509Z
90,016a,42627.0,2022-04-19T14:39:01.917509Z
91,0194,17975.0,2022-04-19T14:39:01.917509Z
92,0201,188653.0,2022-04-19T14:39:01.917509Z
93,0202,189444.0,2022-04-19T14:39:01.917509Z
94,026a,17895.193,2022-04-19T14:39:01.917509Z
95,109a,11402.0,2022-04-19T14:39:01.917509Z
96,109b,10983.0,2022-04-19T14:39:01.917509Z
97,109c,12524.0,2022-04-19T14:39:01.917509Z
98,109d,5645.0,2022-04-19T14:39:01.917509Z
